index,series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
11,"Scooby Doo, Where Are You!",CBS,1,A Gaggle of Galloping Ghosts,8.5,379.0,1969-11-22,21,tv series,"Werewolf,Dracula,Frankenstein's Monster","male,male,male","Animal,Undead,Undead","Werewolf,Vampire,Frankenstein's Monster","Human,Human,Human",False,3,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Forest,United States,1,False,True,Big Bob Oakly,Male,1,Treasure,these blasted kids,dog,False,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
66,The Scooby-Doo Show,ABC,1,The Ghost That Sacked the Quarterback,6.8,75.0,1976-12-04,24,tv series,Rambling Ghost,Male,Ghost,Athlete,Human,False,1,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Urban,United States,6,False,True,Buck Bender,Male,1,Competition,nosy kids,dog,False,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,False,False,False,False,False,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
306,A Pup Named Scooby-Doo,ABC,1,For Letter or Worse,7.4,44.0,1988-10-08,23,tv series,Ghost of Al Cabone,Male,Ghost,Phantom,Human,False,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,Urban,United States,4,False,True,Prestina,Female,1,Competition,you pesky kids,pup named Scooby-Doo,False,truck load,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
310,A Pup Named Scooby-Doo,ABC,1,"Now Museum, Now You Don't",7.7,47.0,1988-10-29,23,tv series,Samurai Ghost,Male,Ghost,Samurai,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,Urban,United States,3,False,True,Dr. Dayton,Male,1,Theft,these pesky kids,pup,False,1,1.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
311,A Pup Named Scooby-Doo,ABC,1,Scooby Dude,7.0,47.0,1988-11-05,23,tv series,Headless Skateboarder,Male,Undead,Headless,Human,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,Coast,United States,3,False,True,"Sandy Sneakers,Al","Female,Male",2,Smuggling,those pesky kids,awesome pup,False,1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
315,A Pup Named Scooby-Doo,ABC,1,Robopup,7.2,44.0,1988-11-26,23,tv series,Ghost of Chef Pierre Goulash,Male,Ghost,Chef,Human,False,1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Urban,United States,3,False,True,Mr. Gordon,Male,1,Theft,you pesky kids,puppy,False,0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
316,A Pup Named Scooby-Doo,ABC,1,Lights...Camera...Monster,7.5,45.0,1988-12-03,23,tv series,Stinkweed,Male,Plant,Humanoid,Plant-Monster,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Urban,United States,3,False,True,Vincent Thorn,Male,1,Theft,you pesky kids,"pup, scooby of the jungle",False,1,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
317,A Pup Named Scooby-Doo,ABC,2,Curse of the Collar,7.7,43.0,1989-09-09,23,tv series,Ghost of Buster McMutt Mauler,Male,Ghost,Phantom,Human,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,Urban,United States,3,False,True,Mr. Trixenstuff,Male,1,Theft,"these nice, but trouble making kids","loveable, but pesky puppy",False,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
318,A Pup Named Scooby-Doo,ABC,2,The Return of Commander Cool,7.7,43.0,1989-09-16,23,tv series,Alien,Male,Extraterrestrial,Alien,Alien,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,Urban,United States,4,False,True,Barbara Simone,Female,1,Theft,that super hero,super puppy,False,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
319,A Pup Named Scooby-Doo,ABC,2,The Spirit of Rock'n Roll,7.8,43.0,1989-09-23,23,tv series,Ghost of Purvis Parker,Male,Undead,Skeleton,Human,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,Urban,United States,4,False,True,Mr. Dilton,Male,1,Theft,Purvis and you kids,puppy,False,2,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
320,A Pup Named Scooby-Doo,ABC,2,Chickenstein Lives,7.5,38.0,1989-09-30,23,tv series,Chickenstein,Male,Undead,Frankenstein's Monster,Chicken,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,Urban,United States,4,False,True,Casmer Codwaller,Male,1,Smuggling,these kids,puppy,False,1,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
328,A Pup Named Scooby-Doo,ABC,3,Wrestle Maniacs,7.2,38.0,1990-11-03,23,tv series,Ghost of the Hooded Heifer,Male,Ghost,Wrestler,Human,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,Urban,United States,8,False,True,Herbert Blaum,Male,1,Competition,those kids,two lame super heros,False,0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
333,A Pup Named Scooby-Doo,ABC,4,Mayhem of the Moving Mollusk,7.2,32.0,1991-08-17,23,tv series,Moving Mollusk,Male,Animal,Giant,Snail,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,Urban,New York,4,False,True,Lester Leonard,Male,1,Competition,you kids,stupid puppy,False,1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
344,What's New Scooby-Doo?,The WB,1,There's No Creature Like Snow Creature,7.5,176.0,2002-09-14,21,tv series,Snow Creature,Male,Animal,Humanoid,Ice-Monster,False,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Snow,United States,6,False,True,Avalanche Anderson,Male,1,Competition,interloping adolescents,gluttonous dog,True,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
355,What's New Scooby-Doo?,The WB,1,Lights! Camera! Mayhem!,7.5,115.0,2003-02-15,21,tv series,Faceless Phantom,Male,Ghost,Phantom,Human,False,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Urban,California,5,False,False,Vincent Wong,Male,1,Competition,you wonderful meddling kids,Scooby-Doo,False,1 box,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
422,Warner Home Video,Cartoon Network,Movie,Scooby-Doo! The Mystery Begins,5.3,5805.0,2009-09-13,82,Movie,"Specter,Ezekial Gallows,Prudence Prufrock","male,male,female","Disguised,Undead,Undead","Specter,Ghost,Ghost","Human,Human,Human",True,3,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,Urban,Ohio,6,False,True,Principal Deedle,Male,1,Treasure,you meddling kids,dog,False,1,2.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,1.0,2.0,1.0,False,False,False,False,False,Robbie Amell,Kate Melton,Hayley Kiyoko,Nick Palatas,Frank Welker
424,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Beware the Beast From Below,7.9,337.0,2010-04-05,23,tv series,Slime Mutant,Male,Possessed Object,Slime,Slime-Monster,False,1,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Urban,California,2,False,True,Professor Emmanuel Raffalo,Male,1,Theft,you meddling kids,blasted dog,False,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
425,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Creeping Creatures,7.8,304.0,2010-07-19,23,tv series,"Creeping Creatures,Creeping Creatures,Creeping Creatures","male,female,male","Animal,Animal,Animal","Humanoid,Humanoid,Humanoid","Alligator,Alligator,Alligator",False,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Swamp,California,3,False,True,"Grady Gator,Greta Gator,Gunther Gator","Male,Female,Male",3,Counterfeit,you meddling juveniles,unauthorized investigation of our synthetic gator accessories,False,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
456,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The House of the Nightmare Witch,7.9,187.0,2012-07-31,23,tv series,"Baba Yaga House,Baba Yaga","male,female","Possessed Object,Magician","House,Witch","House,Human",False,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Forest,California,2,False,True,Curator Vronsky,Male,1,Smuggling,you decedent bourgeoisie teenaers,slobbering democracy loving dog,False,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
470,Warner Home Video,Warner Home Video,Movie,Big Top Scooby-Doo!,6.9,1442.0,2012-10-09,80,Movie,"Werewolf,Werewolf,Werewolf,Werewolf","male,male,male,male","Animal,Animal,Animal,Animal","Werewolf,Werewolf,Werewolf,Werewolf","Human,Human,Human,Human",False,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,Rural,New Jersey,9,False,True,"Whitney Doubleday,Archambault","Male,Male",2,Theft,you young peoples,noisy dog there,False,wheel barrel full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
